0,p-value,Adj p-value
OTU_B_73469,0.154,0.3247165354330709
OTU_B_244332,0.016,0.06026271505713927
OTU_B_73398,0.001,0.005457059679767104
OTU_B_73393,0.463,0.6691545875096376
OTU_B_73392,0.225,0.43185716114168693
OTU_B_73463,0.193,0.38336684548645605
OTU_B_73465,0.249,0.46573171188026197
OTU_B_73466,0.362,0.5732670151539152
OTU_B_126871,0.001,0.005457059679767104
OTU_B_150397,0.094,0.23135138683735434
OTU_B_126875,0.203,0.3988454634785457
OTU_B_217472,0.001,0.005457059679767104
OTU_B_835565,1.0,1.0
OTU_B_1244153,0.245,0.4608944364297811
OTU_B_370258,0.001,0.005457059679767104
OTU_B_117079,0.002,0.010009010512264308
OTU_B_857746,0.088,0.22051098671568214
OTU_B_787587,0.289,0.5051100233100233
OTU_B_995131,0.742,0.8947436474750724
OTU_B_123850,0.315,0.522537610619469
OTU_B_124237,0.003,0.014229954135695081
OTU_B_1518439,0.001,0.005457059679767104
OTU_B_113995,0.138,0.3063579570688379
OTU_B_262296,0.025,0.08636258926514628
OTU_B_73461,0.742,0.8947436474750724
OTU_B_127479,0.354,0.5666115914185078
OTU_B_606184,0.15,0.31997155049786624
OTU_B_355452,0.759,0.9065321173987496
OTU_B_821870,0.134,0.30099820251647696
OTU_B_1520381,0.001,0.005457059679767104
OTU_B_189594,0.016,0.06026271505713927
OTU_B_155632,1.0,1.0
OTU_B_2037879,0.001,0.005457059679767104
OTU_B_25062,0.031,0.10254240652917172
OTU_B_25063,0.485,0.6876622701271687
OTU_B_823415,0.001,0.005457059679767104
OTU_B_1550732,0.141,0.3101710429807833
OTU_B_25067,0.818,0.9534220425928803
OTU_B_25064,0.064,0.17396121080297264
OTU_B_743726,0.019,0.06926558891454965
OTU_B_25068,0.016,0.06026271505713927
OTU_B_25069,1.0,1.0
OTU_B_1129532,0.533,0.7191711355047687
OTU_B_460609,0.303,0.5133933676063499
OTU_B_182086,0.001,0.005457059679767104
OTU_B_128878,1.0,1.0
OTU_B_151955,0.168,0.3429990469707284
OTU_B_785524,0.083,0.21178628551982304
OTU_B_1425092,0.312,0.519543834323469
OTU_B_458335,0.001,0.005457059679767104
OTU_B_117782,0.014,0.05384560143626571
OTU_B_602357,0.001,0.005457059679767104
OTU_B_1207913,0.001,0.005457059679767104
OTU_B_117787,0.131,0.29728753026634386
OTU_B_1296657,1.0,1.0
OTU_B_527213,0.091,0.22602666666666665
OTU_B_478892,1.0,1.0
OTU_B_629390,0.625,0.7963379922681507
OTU_B_776284,0.004,0.018332518337408316
OTU_B_1642779,1.0,1.0
OTU_B_405000,0.001,0.005457059679767104
OTU_B_997267,0.523,0.7166727281034405
OTU_B_113019,0.145,0.31447248535685873
OTU_B_763049,1.0,1.0
OTU_B_709324,0.174,0.35220408989674024
OTU_B_1072241,0.058,0.1614868176754549
OTU_B_763045,0.887,1.0
OTU_B_370924,0.001,0.005457059679767104
OTU_B_1627904,0.303,0.5133933676063499
OTU_B_1905702,1.0,1.0
OTU_B_79235,0.003,0.014229954135695081
OTU_B_51841,0.322,0.5297254127584883
OTU_B_117525,0.005,0.022183431952662723
OTU_B_613226,0.076,0.19825971992693744
OTU_B_51846,1.0,1.0
OTU_B_195516,0.001,0.005457059679767104
OTU_B_722124,0.001,0.005457059679767104
OTU_B_822236,0.003,0.014229954135695081
OTU_B_51848,0.303,0.5133933676063499
OTU_B_1445037,0.091,0.22602666666666665
OTU_B_762271,0.152,0.3224033946251768
OTU_B_1002022,0.082,0.2098237351761795
OTU_B_709320,0.286,0.502973613228568
OTU_B_1497922,0.001,0.005457059679767104
OTU_B_323056,0.062,0.16975570567829104
OTU_B_153435,0.018,0.06631322933300578
OTU_B_81677,1.0,1.0
OTU_B_799876,0.296,0.5091553108511127
OTU_B_109693,0.252,0.46961501180564186
OTU_B_26395,0.684,0.8463787441208022
OTU_B_26397,0.528,0.7181106475603121
OTU_B_100015,0.291,0.506362961243908
OTU_B_100012,0.003,0.014229954135695081
OTU_B_116784,0.727,0.8832969009519952
OTU_B_100010,0.011,0.04377813163481953
OTU_B_26392,0.001,0.005457059679767104
OTU_B_119867,0.001,0.005457059679767104
OTU_B_26399,0.209,0.4079614708753661
OTU_B_26398,0.717,0.8751531824841282
OTU_B_762559,0.018,0.06631322933300578
OTU_B_719127,0.001,0.005457059679767104
OTU_B_95797,0.54,0.7208331849741856
OTU_B_95796,0.286,0.502973613228568
OTU_B_113576,0.001,0.005457059679767104
OTU_B_95792,1.0,1.0
OTU_B_95791,0.265,0.4837713798770467
OTU_B_107533,0.61,0.7822773335613803
OTU_B_348595,0.528,0.7181106475603121
OTU_B_754121,0.296,0.5091553108511127
OTU_B_737752,0.001,0.005457059679767104
OTU_B_305761,0.152,0.3224033946251768
OTU_B_810896,1.0,1.0
OTU_B_1676918,0.292,0.5070146471371505
OTU_B_810544,0.682,0.8444265367625812
OTU_B_123188,0.375,0.5817213199544843
OTU_B_874278,0.257,0.475740278977904
OTU_B_1104872,0.52,0.7155696260610233
OTU_B_794400,0.001,0.005457059679767104
OTU_B_654700,0.001,0.005457059679767104
OTU_B_141434,0.769,0.913058115597783
OTU_B_1163962,0.001,0.005457059679767104
OTU_B_124238,0.301,0.5122909998865054
OTU_B_1381186,0.143,0.31207567488903437
OTU_B_653694,0.001,0.005457059679767104
OTU_B_81756,0.041,0.1272952380952381
OTU_B_81757,1.0,1.0
OTU_B_81754,0.001,0.005457059679767104
OTU_B_1537968,0.639,0.8082699169161992
OTU_B_821006,1.0,1.0
OTU_B_81751,0.459,0.6658763664506143
OTU_B_1142641,1.0,1.0
OTU_B_1301827,0.25,0.46696144983496296
OTU_B_141123,0.044,0.13415146894378366
OTU_B_124358,1.0,1.0
OTU_B_459310,0.001,0.005457059679767104
OTU_B_134340,0.227,0.43466666666666665
OTU_B_81758,0.013,0.05060955347871235
OTU_B_81759,1.0,1.0
OTU_B_125400,0.424,0.6289434690142934
OTU_B_128025,0.429,0.6342585034013606
OTU_B_125403,0.073,0.1923070707070707
OTU_B_1520393,0.257,0.475740278977904
OTU_B_128125,0.432,0.6377507383343178
OTU_B_113729,0.693,0.8549052319842053
OTU_B_820974,0.22,0.4243786982248521
OTU_B_707836,0.258,0.4767380937711786
OTU_B_202567,0.001,0.005457059679767104
OTU_B_768742,0.124,0.2870047846889952
OTU_B_426000,0.137,0.3050184841511395
OTU_B_49308,0.071,0.18844530973451326
OTU_B_810769,1.0,1.0
OTU_B_801661,0.381,0.585427122291101
