,Logistic_Regression_Run_0_CV_0,Logistic_Regression_Run_0_CV_1,Logistic_Regression_Run_0_CV_2,Logistic_Regression_Run_0_CV_3,Logistic_Regression_Run_0_CV_4,Logistic_Regression_Run_1_CV_0,Logistic_Regression_Run_1_CV_1,Logistic_Regression_Run_1_CV_2,Logistic_Regression_Run_1_CV_3,Logistic_Regression_Run_1_CV_4,Logistic_Regression_Run_2_CV_0,Logistic_Regression_Run_2_CV_1,Logistic_Regression_Run_2_CV_2,Logistic_Regression_Run_2_CV_3,Logistic_Regression_Run_2_CV_4,Logistic_Regression_Run_3_CV_0,Logistic_Regression_Run_3_CV_1,Logistic_Regression_Run_3_CV_2,Logistic_Regression_Run_3_CV_3,Logistic_Regression_Run_3_CV_4,Logistic_Regression_Run_4_CV_0,Logistic_Regression_Run_4_CV_1,Logistic_Regression_Run_4_CV_2,Logistic_Regression_Run_4_CV_3,Logistic_Regression_Run_4_CV_4
0,OTU_F_138012,OTU_F_151101,OTU_F_151101,OTU_F_82508,OTU_F_138012,OTU_F_151101,OTU_F_151101,OTU_F_138012,OTU_F_82508,OTU_F_151101,OTU_F_151101,OTU_F_151101,OTU_B_21457,OTU_F_151101,OTU_F_138012,OTU_F_151101,OTU_F_82508,OTU_F_151101,OTU_F_138012,OTU_F_151101,OTU_F_151101,OTU_F_138012,OTU_F_151101,OTU_F_138012,OTU_F_151101
1,OTU_F_82508,OTU_F_30509,OTU_B_21457,OTU_F_138012,OTU_F_151101,OTU_B_40108,OTU_F_138012,OTU_F_81595,OTU_F_138012,OTU_F_138012,OTU_F_138012,OTU_F_82508,OTU_F_82508,OTU_F_25850,OTU_F_151101,OTU_F_82508,OTU_F_138012,OTU_F_38330,OTU_F_81595,OTU_F_138012,OTU_F_81595,OTU_F_151101,OTU_B_21457,OTU_F_82508,OTU_F_138012
2,OTU_F_81595,OTU_F_93747,OTU_F_138012,OTU_F_93747,OTU_B_86805,OTU_F_138012,OTU_F_30509,OTU_F_82508,OTU_B_54425,OTU_F_81595,OTU_F_93747,OTU_F_81595,OTU_F_138012,OTU_F_30394,OTU_F_82508,OTU_F_138012,OTU_F_56880,OTU_F_30509,OTU_F_54660,OTU_F_82508,OTU_F_138012,OTU_F_38330,OTU_F_82508,OTU_F_25850,OTU_B_54425
3,OTU_B_54425,OTU_F_82508,OTU_B_86805,OTU_F_151101,OTU_F_81595,OTU_F_30509,OTU_F_82508,OTU_F_151101,OTU_F_21449,OTU_F_82508,OTU_F_81595,OTU_F_38330,OTU_F_93747,OTU_F_138012,OTU_F_81595,OTU_B_54425,OTU_B_86805,OTU_F_138012,OTU_B_40108,OTU_F_81595,OTU_F_30509,OTU_F_122647,OTU_F_81595,OTU_F_81595,OTU_B_21457
4,OTU_B_40108,OTU_F_81595,OTU_B_54425,OTU_F_81595,OTU_B_54425,OTU_F_54660,OTU_B_86805,OTU_B_54425,OTU_F_151101,OTU_B_86805,OTU_F_30509,OTU_B_54425,OTU_F_151101,OTU_F_30509,OTU_B_54425,OTU_F_38826,OTU_F_151101,OTU_F_81595,OTU_F_151101,OTU_B_54425,OTU_F_82508,OTU_F_82508,OTU_F_138012,OTU_F_151101,OTU_B_40108
5,OTU_F_151101,OTU_F_138012,OTU_F_56880,OTU_B_54425,OTU_F_30509,OTU_F_81595,OTU_B_54425,OTU_F_56880,OTU_F_81595,OTU_B_54425,OTU_F_82508,OTU_F_39466,OTU_B_54425,OTU_B_54425,OTU_F_56880,OTU_B_21457,OTU_B_54425,OTU_F_82508,OTU_F_56880,OTU_F_30509,OTU_B_54425,OTU_B_54425,OTU_B_86805,OTU_B_54425,OTU_F_30509
6,OTU_F_25850,OTU_B_54425,OTU_F_81595,OTU_F_38826,OTU_B_21457,OTU_F_25850,OTU_B_21457,OTU_B_21457,OTU_B_86805,OTU_B_13461,OTU_B_40108,OTU_F_138012,OTU_F_81595,OTU_F_81595,OTU_B_21457,OTU_F_81595,OTU_F_25850,OTU_B_54425,OTU_B_86805,OTU_B_54487,OTU_B_40108,OTU_F_81595,OTU_B_54425,OTU_F_30509,OTU_F_81595
7,OTU_F_56880,OTU_B_40108,OTU_F_82508,OTU_F_39466,OTU_F_82508,OTU_B_21457,OTU_B_40108,OTU_F_38826,OTU_F_25540,OTU_F_30509,OTU_B_54425,OTU_F_30509,OTU_F_25850,OTU_F_82508,OTU_F_25850,OTU_F_25850,OTU_F_93747,OTU_B_86805,OTU_B_21457,OTU_F_93747,OTU_B_86805,OTU_F_38826,OTU_F_30509,OTU_F_56880,OTU_F_25850
8,OTU_F_38826,OTU_B_22182,OTU_B_40108,OTU_F_38330,OTU_F_50870,OTU_B_54425,OTU_F_81595,OTU_B_40108,OTU_F_93747,OTU_B_40108,OTU_B_86805,OTU_F_97887,OTU_B_40108,OTU_F_56880,OTU_B_86805,OTU_B_86805,OTU_B_21457,OTU_B_40108,OTU_F_30509,OTU_B_40108,OTU_F_25850,OTU_B_86805,OTU_F_25850,OTU_B_86805,OTU_F_97887
9,OTU_F_21449,OTU_F_25850,OTU_F_30509,OTU_B_13461,OTU_F_25850,OTU_F_30854,OTU_F_25850,OTU_F_30509,OTU_F_39466,OTU_F_38330,OTU_B_54487,OTU_B_86805,OTU_F_30509,OTU_F_25540,OTU_F_30509,OTU_F_30509,OTU_F_81595,OTU_F_25850,OTU_F_25850,OTU_B_21457,OTU_F_30394,OTU_F_93747,OTU_B_40108,OTU_F_25540,OTU_B_86805
10,OTU_F_30509,OTU_B_86805,OTU_F_25850,OTU_F_97887,OTU_F_30394,OTU_B_416914,OTU_F_97887,OTU_F_21449,OTU_F_25850,OTU_F_56880,OTU_B_22182,OTU_B_13461,OTU_F_39466,OTU_B_40108,OTU_F_21449,OTU_B_54487,OTU_F_39466,OTU_B_140508,OTU_F_25053,OTU_B_86805,OTU_B_21457,OTU_B_65162,OTU_F_30394,OTU_F_21449,OTU_F_30854
11,OTU_F_39466,OTU_B_13461,OTU_F_38330,OTU_B_40108,OTU_B_40108,OTU_B_86805,OTU_F_93747,OTU_F_30394,OTU_F_25053,OTU_F_30854,OTU_B_21457,OTU_B_40108,OTU_F_38826,OTU_F_38330,OTU_F_38826,OTU_F_93747,OTU_F_30509,OTU_F_55643,OTU_F_30394,OTU_F_97887,OTU_F_39466,OTU_F_30509,OTU_F_56880,OTU_F_30394,OTU_F_39466
12,OTU_B_54487,OTU_F_38330,OTU_F_54660,OTU_F_25850,OTU_F_122647,OTU_F_39466,OTU_F_30394,OTU_F_55643,OTU_F_30394,OTU_F_39466,OTU_B_13461,OTU_F_93747,OTU_F_23990,OTU_B_21457,OTU_F_93747,OTU_F_39466,OTU_B_40108,OTU_F_30394,OTU_F_122647,OTU_F_39466,OTU_F_68256,OTU_B_13461,OTU_F_30854,OTU_F_93747,OTU_F_93747
13,OTU_B_38079,OTU_F_30394,OTU_F_21449,OTU_F_30509,OTU_F_93747,OTU_F_56880,OTU_B_54487,OTU_B_86805,OTU_F_30509,OTU_F_93747,OTU_F_30854,OTU_F_25053,OTU_F_56880,OTU_F_39466,OTU_F_122647,OTU_F_97887,OTU_B_15904,OTU_F_39466,OTU_F_21449,OTU_B_15904,OTU_F_93747,OTU_F_56880,OTU_F_39466,OTU_B_40108,OTU_F_82508
14,OTU_B_21457,OTU_F_38826,OTU_F_39466,OTU_F_30394,OTU_F_97887,OTU_F_38826,OTU_F_122647,OTU_F_97887,OTU_F_38330,OTU_F_30394,OTU_F_68256,OTU_B_21438,OTU_F_30429,OTU_F_55643,OTU_F_97887,OTU_B_40108,OTU_F_23990,OTU_B_13461,OTU_F_93747,OTU_F_30394,OTU_F_38330,OTU_F_39466,OTU_F_54660,OTU_F_38330,OTU_F_21449
15,OTU_F_30394,OTU_F_30854,OTU_B_15904,OTU_B_140508,OTU_F_38826,OTU_F_38330,OTU_F_38826,OTU_F_68256,OTU_F_23990,OTU_F_122647,OTU_F_54660,OTU_F_30394,OTU_B_54523,OTU_B_54487,OTU_F_55643,OTU_F_122647,OTU_F_21449,OTU_F_56880,OTU_F_82508,OTU_F_38826,OTU_B_54487,OTU_F_30394,OTU_B_40226,OTU_F_25053,OTU_B_54487
16,OTU_F_23990,OTU_F_56880,OTU_F_30394,OTU_F_30407,OTU_F_56880,OTU_B_40226,OTU_F_55643,OTU_F_25540,OTU_F_54660,OTU_B_21438,OTU_F_25850,OTU_F_30407,OTU_B_86805,OTU_F_93747,OTU_F_30394,OTU_F_25540,OTU_F_30394,OTU_F_30854,OTU_B_22182,OTU_F_21449,OTU_B_13461,OTU_F_30429,OTU_B_13461,OTU_F_39466,OTU_F_30407
17,OTU_F_54660,OTU_F_25540,OTU_F_93747,OTU_F_122647,OTU_F_30854,OTU_F_68256,OTU_F_38330,OTU_F_25053,OTU_B_13461,OTU_F_30448,OTU_F_30394,OTU_F_38826,OTU_F_30854,OTU_F_68256,OTU_F_54660,OTU_F_30394,OTU_B_38079,OTU_B_40226,OTU_B_416914,OTU_F_25850,OTU_F_30854,OTU_F_97887,OTU_F_23990,OTU_F_122647,OTU_B_42446
