,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4
OTU_B_40226,-0.29572144,-0.24102344,-0.22487833,-0.26735967,-0.23201986,-0.31189868,-0.26805755,-0.19261442,-0.29347008,-0.18297839,-0.23633626,-0.254315,-0.29588237,-0.20658398,-0.22525476,-0.28115994,-0.17062894,-0.2997001,-0.3044003,-0.18953122,-0.24026336,-0.16366354,-0.2742244,-0.22427557,-0.33627346
OTU_B_67783,-0.083894745,-0.18576065,-0.19030245,-0.16318716,-0.19406736,-0.18732953,-0.2825454,-0.107571974,-0.1427297,-0.102976575,-0.2465596,-0.069997035,-0.11634319,-0.21841712,-0.13629006,-0.22736296,-0.19211343,-0.07408232,-0.26465467,-0.20439525,-0.2431299,-0.10806828,-0.082595274,-0.1859226,-0.22458756
OTU_B_78969,0.033276614,-0.101031184,-0.01807408,0.03506519,-0.044889525,-0.06592545,-0.0036248947,0.043681443,-0.06146849,0.004532945,-0.015894793,0.042628773,-0.04665306,-0.022815688,-0.06712834,-0.03310544,-0.00033962718,0.049384307,-0.056369442,-0.09902236,-0.053151287,0.016818985,-0.021490837,-0.070948906,-0.0012251827
OTU_B_64987,0.15135376,0.057090547,0.1352818,0.09286426,0.14517581,0.07785595,0.10829955,0.18005717,0.14228879,0.08557194,0.027158156,0.18059695,0.104915775,0.076295525,0.1280883,0.111694984,0.095940344,0.20313877,0.059679225,0.0978525,0.053430878,0.10307538,0.181581,0.11114148,0.08581703
OTU_B_86805,0.33623213,0.38106036,0.41861215,0.36294416,0.40069428,0.3461444,0.37254116,0.37170994,0.44759,0.3090423,0.42237446,0.34827548,0.3773532,0.3201788,0.39229488,0.44307563,0.40269628,0.35378656,0.37144735,0.40624768,0.44626015,0.33745375,0.35768816,0.39447898,0.42936426
OTU_B_17455,-0.10667392,-0.027120588,-0.11139432,-0.06476084,0.041417774,-0.13974854,-0.065408155,-0.044594355,0.05954005,-0.10844974,-0.042087056,-0.099444106,-0.07990929,-0.049048766,-0.027701823,0.038596276,-0.011200829,-0.09694962,-0.18256867,-0.103595324,-0.114501595,-0.10455927,-0.025325201,-0.008095922,-0.069914564
OTU_B_38079,0.25175765,0.17678468,0.21778885,0.17442653,0.2146046,0.22264855,0.26342294,0.14357978,0.1922234,0.16775188,0.20726475,0.047935855,0.31833094,0.2546573,0.1904937,0.24774373,0.27833483,0.20932135,0.14749438,0.122455575,0.25952744,0.13530545,0.20263165,0.1910232,0.2640276
OTU_B_42446,0.15324916,0.07315458,0.00056340103,-0.10716403,0.026317194,-0.090752505,0.060440037,0.1566943,-0.06592513,-0.028208163,-0.036106188,0.1343376,-0.02488013,0.0630304,-0.031253032,0.0137739,-0.03258373,0.046275467,0.01164594,-0.010246843,-0.03610761,0.040938452,0.09683933,-0.00040112034,-0.060589228
OTU_B_123159,-0.021483526,-0.08199141,-0.016929014,-0.21284612,-0.06883955,-0.07655241,-0.075075306,-0.08436164,-0.07801855,-0.10290911,-0.07016139,-0.023938095,-0.16706938,-0.12985823,-0.037768327,-0.10416129,-0.1736402,-0.0074964454,-0.031529296,-0.15112562,-0.08369749,-0.12953174,-0.08599328,-0.07227576,-0.038462836
OTU_B_15904,0.23507258,0.22916137,0.33598205,0.30440065,0.17486179,0.28315115,0.20431046,0.26171196,0.2632962,0.30519867,0.22644095,0.27359113,0.2975342,0.31817946,0.2691687,0.20866166,0.31318307,0.22506869,0.24918726,0.29495344,0.25212955,0.20397414,0.28504366,0.30473903,0.29574302
OTU_B_13461,-0.36466065,-0.46624035,-0.30272412,-0.51556206,-0.4267145,-0.26706633,-0.36850607,-0.44564432,-0.40935305,-0.54120624,-0.4660397,-0.48408222,-0.43109536,-0.3989118,-0.26864037,-0.40462333,-0.50376713,-0.47083536,-0.34945378,-0.29197136,-0.40719417,-0.42307112,-0.40196627,-0.45172182,-0.40157574
OTU_B_140508,0.2266746,0.15940157,0.19833659,0.30137214,0.18365467,0.21824619,0.20717506,0.19082986,0.2453786,0.1886274,0.22791466,0.25775844,0.22599837,0.17828356,0.12578401,0.22175702,0.1655355,0.317643,0.094910294,0.23504815,0.2534395,0.274518,0.11001832,0.218083,0.25269142
