,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2,RF_Run_0_CV_3,RF_Run_0_CV_4,RF_Run_1_CV_0,RF_Run_1_CV_1,RF_Run_1_CV_2,RF_Run_1_CV_3,RF_Run_1_CV_4,RF_Run_2_CV_0,RF_Run_2_CV_1,RF_Run_2_CV_2,RF_Run_2_CV_3,RF_Run_2_CV_4,RF_Run_3_CV_0,RF_Run_3_CV_1,RF_Run_3_CV_2,RF_Run_3_CV_3,RF_Run_3_CV_4,RF_Run_4_CV_0,RF_Run_4_CV_1,RF_Run_4_CV_2,RF_Run_4_CV_3,RF_Run_4_CV_4
0,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_40108,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805,OTU_B_86805
1,OTU_F_151101,OTU_F_93747,OTU_B_78969,OTU_B_13461,OTU_F_12349,OTU_F_151101,OTU_F_12349,OTU_B_15904,OTU_B_78969,OTU_B_40108,OTU_B_13461,OTU_B_15904,OTU_B_15904,OTU_B_78969,OTU_F_12349,OTU_B_15904,OTU_B_15904,OTU_F_12349,OTU_B_86805,OTU_F_151101,OTU_B_13461,OTU_B_15904,OTU_F_12349,OTU_F_12349,OTU_B_13461
2,OTU_F_93747,OTU_F_12349,OTU_F_12349,OTU_B_40108,OTU_B_78969,OTU_F_93747,OTU_F_151101,OTU_F_93747,OTU_F_151101,OTU_B_78969,OTU_B_78969,OTU_B_78969,OTU_F_93747,OTU_B_40108,OTU_F_93747,OTU_B_78969,OTU_B_13461,OTU_B_13461,OTU_B_40091,OTU_F_12349,OTU_F_93747,OTU_B_78969,OTU_B_13461,OTU_B_13461,OTU_F_151101
3,OTU_B_40108,OTU_B_40108,OTU_F_151101,OTU_B_15904,OTU_B_13461,OTU_B_78969,OTU_B_40108,OTU_B_40108,OTU_B_13461,OTU_F_12349,OTU_F_93747,OTU_F_12349,OTU_F_12349,OTU_F_12349,OTU_B_40091,OTU_F_151101,OTU_B_78969,OTU_B_40108,OTU_B_78969,OTU_F_93747,OTU_B_40108,OTU_F_12349,OTU_F_93747,OTU_F_93747,OTU_B_78969
4,OTU_B_15904,OTU_F_151101,OTU_F_93747,OTU_B_78969,OTU_F_93747,OTU_B_13461,OTU_F_38330,OTU_F_12349,OTU_F_12349,OTU_B_13461,OTU_F_151101,OTU_B_731894,OTU_B_13461,OTU_F_151101,OTU_F_17467,OTU_F_93747,OTU_F_12349,OTU_B_76519,OTU_B_13461,OTU_B_76519,OTU_B_40091,OTU_F_93747,OTU_B_78969,OTU_B_76519,OTU_F_12349
5,OTU_B_13461,OTU_B_78969,OTU_F_17467,OTU_F_12349,OTU_B_15904,OTU_F_12349,OTU_F_93747,OTU_F_151101,OTU_B_15904,OTU_B_40091,OTU_B_40091,OTU_B_21438,OTU_B_40226,OTU_B_13461,OTU_F_151101,OTU_F_12349,OTU_B_76519,OTU_F_151101,OTU_B_21438,OTU_B_40108,OTU_F_151101,OTU_B_40108,OTU_F_151101,OTU_B_15904,OTU_B_40091
6,OTU_B_21438,OTU_B_13461,OTU_B_15904,OTU_B_76519,OTU_F_17467,OTU_B_76519,OTU_B_13461,OTU_B_78969,OTU_B_76519,OTU_F_93747,OTU_F_12349,OTU_B_40108,OTU_F_151101,OTU_B_15904,OTU_F_23990,OTU_B_13461,OTU_F_151101,OTU_B_78969,OTU_F_12349,OTU_F_17467,OTU_F_12349,OTU_B_13461,OTU_B_15904,OTU_B_40091,OTU_B_15904
7,OTU_B_65162,OTU_F_30509,OTU_B_76519,OTU_F_93747,OTU_B_76519,OTU_B_40091,OTU_B_15904,OTU_B_13461,OTU_F_93747,OTU_B_15904,OTU_B_40108,OTU_F_151101,OTU_B_40108,OTU_B_76519,OTU_B_76519,OTU_F_39466,OTU_F_93747,OTU_B_15904,OTU_F_151101,OTU_B_78969,OTU_B_15904,OTU_F_38330,OTU_B_76519,OTU_F_151101,OTU_F_93747
8,OTU_F_23990,OTU_F_25850,OTU_B_13461,OTU_B_40091,OTU_F_25850,OTU_B_21438,OTU_B_40226,OTU_B_76519,OTU_F_25850,OTU_B_76519,OTU_B_21438,OTU_B_13461,OTU_B_78969,OTU_F_38330,OTU_B_13461,OTU_B_40091,OTU_F_30509,OTU_B_731894,OTU_F_93747,OTU_F_39466,OTU_B_78969,OTU_F_151101,OTU_B_40108,OTU_F_17467,OTU_F_56880
9,OTU_F_12349,OTU_F_38330,OTU_B_40091,OTU_F_68256,OTU_B_54425,OTU_B_15904,OTU_B_78969,OTU_B_40091,OTU_B_65162,OTU_F_23990,OTU_F_39466,OTU_F_93747,OTU_B_76519,OTU_F_93747,OTU_F_39466,OTU_F_56880,OTU_F_82508,OTU_F_23990,OTU_B_40226,OTU_B_40226,OTU_F_39466,OTU_B_76519,OTU_B_40091,OTU_B_78969,OTU_B_40108
